map_index,survey_number,lon,lat,tile_lon_center,tile_lat_center,tile_lon_min,tile_lat_min,tile_lon_max,tile_lat_max,min_lon,min_lat,max_lon,max_lat,method
119,230819150,-13.89545816,38.3091213,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
120,230819150,-14.39946956,38.27107878,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
121,230819150,-14.66767435,38.2503243,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
122,230819150,-14.48890077,38.26440343,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
123,230819150,-13.44747594,38.33449707,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
124,230819150,-15.36114668,38.20611894,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
125,230819150,-15.31634769,38.20867284,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
126,230819150,-15.2715487,38.21122665,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
127,230819150,-15.22674971,38.21378037,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
128,230819150,-15.18195071,38.216334,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
129,230819150,-15.13715172,38.21888754,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
130,230819150,-15.09233656,38.22125687,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
131,230819150,-14.44419245,38.26780074,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
132,230819150,-15.02555505,38.22503872,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
133,230819150,-14.93602576,38.23080514,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
134,230819150,-14.8912827,38.23390902,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
135,230819150,-14.84653965,38.23701278,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
136,230819150,-14.80179659,38.24011639,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
137,230819150,-14.75706113,38.2432837,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
138,230819150,-14.71236774,38.24680408,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
139,230819150,-14.62298095,38.25384434,-12.325003623962402,38.375003814697266,-12.350004196166992,38.350006103515625,-12.300003051757812,38.400001525878906,-15.36114668,38.20611894,-11.17646703,38.44563959,1D
